Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira",Muito alta,Muito alta,Alta,Alta,Não se aplica,Não se aplica,Excelente,Excelente,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa, Acessibilidade do evento"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Alta,Muito alta,,Muito alta,Excelente,Excelente,,,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Não estou morando no Brasil"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Quarta-feira, Quinta-feira, Domingo",,Muito alta,Alta,Muito alta,Média,,Bom,Bom,Excelente,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,,,,Excelente,Excelente,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Média,Média,Média,Não se aplica,Não se aplica,Bom,Bom,Excelente,Não se aplica,Muito alta,Muito alta,,Insegurança relacionada a pandemia COVID-19
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Quarta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Não,Keynotes,"Segunda-feira, Terça-feira, Sexta-feira",Alta,Muito alta,Alta,Alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Quarta-feira",Muito alta,,Alta,Muito alta,,,Bom,Bom,,,Muito alta,Alta,Horários das atividades incompatíveis com agenda,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Indiferente,Ruim,Ruim,Ruim,Baixa,Média,Ferramentas utilizadas no evento,Custo do transporte
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira",Alta,,Alta,Alta,Baixa,Baixa,Excelente,Bom,Bom,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,nenhum,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Alta,Baixa,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,,,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,Custo da estadia
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Média,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Média,Muito alta,Não se aplica,Não se aplica,Indiferente,Bom,Ruim,Não se aplica,Muito alta,Baixa,,Custo do transporte
Sim,"Rodas de conversa, Palestras à tarde, Keynotes","Segunda-feira, Terça-feira, Sexta-feira, Sábado",Muito alta,Alta,Alta,Muito alta,,,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Ferramentas utilizadas no evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,Média,Média,Alta,Média,Média,Bom,Bom,Bom,Bom,Alta,Alta,Horários das atividades incompatíveis com agenda,Custo do ingresso
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa, Acessibilidade do evento"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Conectividade,
Sim,Palestras à noite,"Sábado, Domingo",Muito alta,Alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Keynotes","Terça-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Sim,Palestras à tarde,,Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Média,Média,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,"Rodas de conversa, Palestras à tarde, Tutoriais","Quarta-feira, Quinta-feira",Muito alta,Muito alta,Muito alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Sexta-feira, Sábado",Não se aplica,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,"Rodas de conversa, Palestras à tarde, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Média,Alta,Média,Média,Não se aplica,Excelente,Bom,Bom,Indiferente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,Tutoriais,Sábado,Média,Não se aplica,Não se aplica,Não se aplica,Média,Não se aplica,Não se aplica,Não se aplica,Bom,Não se aplica,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos"
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Terça-feira, Quarta-feira, Sexta-feira, Sábado",,,Muito alta,Muito alta,Média,Alta,Excelente,Excelente,Bom,Bom,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,,,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,Palestras à noite,Sábado,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,Acessibilidade do evento
Sim,"Rodas de conversa, Palestras à tarde, Keynotes","Sexta-feira, Sábado, Domingo",Alta,Muito alta,Média,Alta,,,Excelente,Bom,Excelente,,Muito alta,Alta,,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quinta-feira",Muito alta,Não se aplica,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Alta,Alta,,Insegurança relacionada a pandemia COVID-19
Sim,"Palestras à tarde, Keynotes, Sprints","Segunda-feira, Terça-feira, Quinta-feira, Domingo",Muito alta,Não se aplica,Alta,Alta,Não se aplica,Alta,Bom,Bom,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Muito alta,Alta,Muito alta,Alta,Não se aplica,Bom,Bom,Bom,Bom,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,Palestras à noite,"Segunda-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,"Palestras à tarde, Keynotes","Quinta-feira, Sábado, Domingo",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,,"Horários das atividades incompatíveis com agenda, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,Baixa,Alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Baixa,Baixa,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Muito alta,Muito alta,Não se aplica,Média,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito alta,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Sábado, Domingo",Muito alta,Média,Muito alta,Muito alta,Muito baixa,Alta,Excelente,Bom,Excelente,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Alta,Alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à noite, Tutoriais","Segunda-feira, Domingo",Alta,Alta,Muito alta,Alta,Muito alta,Alta,Bom,Excelente,Bom,Bom,Muito alta,Média,Acessibilidade do evento,Custo do transporte
Sim,"Palestras à tarde, Palestras à noite",Segunda-feira,Muito alta,,Muito alta,,,,,,,,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte"
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,,Alta,,,,Excelente,Bom,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,
Sim,"Rodas de conversa, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Conectividade,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Excelente,Não se aplica,Muito alta,Média,Não tem impeditivo,"Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Alta,Alta,Muito alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Alta,Não tenho interesse em eventos on-line,Insegurança relacionada a pandemia COVID-19
Sim,"Palestras à tarde, Palestras à noite","Quarta-feira, Quinta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Não,"Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Média,Alta,Não se aplica,Alta,Bom,Indiferente,Bom,Não se aplica,Muito alta,Muito baixa,Não tenho impedimento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Muito alta,Excelente,Excelente,Bom,Não se aplica,Muito alta,Muito alta,"Horários das atividades incompatíveis com agenda, Conectividade, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte"
Sim,"Rodas de conversa, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,,,Excelente,Excelente,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,Palestras à tarde,Quarta-feira,,,Alta,,,,,Bom,,,Alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,Palestras à tarde,"Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Não ter ninguém com quem deixar os filhos,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos"
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira",Muito alta,Alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Média,Alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Bom,Bom,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Quinta-feira",Muito alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Média,Muito alta,"Esse ano foi um ano muito difícil pra todo mundo. Como eu trabalhei de casa e não saí pra quase nada, participar do evento pareceu que eu estava trabalhando, o que me desanimou de acompanhar ao vivo. Ano que vem, se não tivemos mais em pandemia (esperamos!), talvez a vibe seja outra.","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Sábado, Domingo",Alta,Não se aplica,Alta,Média,Alta,Alta,Bom,Bom,Excelente,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quinta-feira",Média,Média,Alta,Alta,Muito baixa,Muito baixa,Bom,Bom,Não se aplica,Não se aplica,Alta,Média,"Horários das atividades incompatíveis com agenda, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo da estadia, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Keynotes","Segunda-feira, Quarta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Bom,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Muito alta,,Muito alta,Muito alta,Alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Muito alta,Alta,Não se aplica,Excelente,Bom,Excelente,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Domingo",Muito alta,,Muito alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia"
Sim,,,Muito baixa,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Bom,Não se aplica,Bom,Não se aplica,Alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,,Dificuldade em liberação pela empresa
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Alta,,Alta,Bom,Bom,Bom,Bom,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Conectividade","Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Conectividade,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite",Quinta-feira,,,Alta,,,,Excelente,Excelente,,,Muito alta,Baixa,,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
