Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?","Se escolheu alguma das opções acima, detalhe os motivos abaixo.",Como podemos melhorar na próxima edição da Python Brasil?,Você têm algum outro comentário sobre a Python Brasil 2020?
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Baixa,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Indiferente,Indiferente,Não se aplica,Não se aplica,Muito baixa,Média,Não tenho interesse em eventos on-line,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,,
Sim,Rodas de conversa,"Segunda-feira, Terça-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa","Eu moro no Nordeste,  normalmente é bastante caro ir pra eventos no eixo sul-sudeste",,
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Muito alta,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia",,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Alta,Muito alta,,Muito alta,Bom,Bom,,,Muito alta,Muito alta,,,,Achei incrível ter as mesas redondas todos os dias do evento. Uma coisa que eu acho interessante seria ter um tempo no final para debate com intervenção do público. Temas que geram discussão como o do do keynote da Thais por exemplo poderiam gerar um debate interessante com o público. Mesmo temas mais técnicos como arquitetura e design de código poderiam ser interessantes.,"Foi simplesmente incrível! Participei de outros dois eventos online esse ano que nem se comparam com a experiência que foi a Python Brasil. O discord com os canais de áudio fizeram toda a diferença pra gente se sentir próxima das pessoas. As mesas redondas também foram ótimas. É muito bom ter um espaço dedicado a uma discussão mais ampla sobre temas importantes. O horário dos keynotes foi ótimo também, deu pra assistir todos depois do trabalho."
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Quarta-feira",Média,,Média,,,,Bom,Indiferente,,,Alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Rodas de conversa, Palestras à tarde, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Bom,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa",,,Parabéns! muito bacana o evento. Foi a primeira vez que participei e achei demais!
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Muito alta,Alta,,,,Bom,Bom,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,,,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quinta-feira",Muito alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,As palestras relacionadas à música foram excelentes. Recomendo fazer um dia de palestras apenas sobre isso.
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira",Muito alta,Alta,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito alta,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",Dependendo da época do ano fica difícil ir a eventos e caso ainda não tenhamos vacina ainda não desejo participar nenhum evento presencial,Só tenho elogios a fazer!!! Parabéns,Achei ótimo o evento infelizmente não pude assistir todas as apresentações que gostaria mas de todas que participei adorei. Parabéns aos organizadores e todos os envolvidos!!!
Não,"Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,"Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa",,,
Sim,,,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Péssimo,Péssimo,Péssimo,Péssimo,Muito baixa,Muito baixa,Desorganização de vocês,Desorganização de vocês,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",Pior cenário é ser distante mais do que 40km da minha cidade.,Concentrar as palestras bem no final da tarde e principalmente a noite.,Foi um ótimo evento
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,,Mais vagas para tutoriais.,
Sim,Tutoriais,Domingo,Alta,,Alta,,Alta,,Bom,Bom,Excelente,Bom,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Acessibilidade do evento",,"Os tutoriais poderiam ser gravados e divididos em partes durante a semana, assim o aluno(a) pode pausar o vídeo para um melhor acompanhamento do código. E no fim de semana o tutor(a) teria um horário ao vivo disponível para responder as dúvidas.",Bem interessante e agregadora!
Sim,Palestras à tarde,Segunda-feira,Muito alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Custo da estadia,,,
Sim,Palestras à tarde,"Segunda-feira, Sexta-feira",Baixa,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,"Se for online, criar grupos divididos por estados ajudaria a uma integração mais fácil para pessoas que estão conhecendo a comunidade pela 1ª vez.",
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Dificuldade em liberação pela empresa",No caso de um evento presencial preciso da liberação do trabalho.,Talvez incluir a possibilidade de escolher os eventos e montar uma agenda pessoal que facilite o acompanhamento das palestras,"Achei sensacional! Parabéns pelo evento, consegui participar quase todos os dias e acho que o fato de ser online facilitou muito."
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Não se aplica,Bom,Indiferente,Bom,Indiferente,Muito alta,Baixa,Conectividade,"Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Muito baixa,Não se aplica,Excelente,Excelente,Bom,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,Custo do transporte,"Dependendo de onde for, o custo seria alto.","Melhorar as inscrições nos tutoriais, já que não consegui fazer nenhum, mesmo tendo me inscrito na primeira ""leva"".","Fiquei super chateada. Me inscrevi em um tutorial que eu queria MUITO participar. Daí as inscrições foram canceladas e quando vi o e-mail e fui me reinscrever, já não havia mais vagas em nenhum tutorial que eu poderia participar. Achei um pouco chato cancelarem nossas inscrições (entendo o problema ocorrido, mas deveriam ter cancelado somente das pessoas que burlaram as regras). "
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Quarta-feira, Quinta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,,,"Só acontecer, porque já vai ser top",
Sim,Palestras à tarde,"Terça-feira, Quarta-feira",Muito alta,,Alta,,,,,Excelente,,,Alta,Muito alta,,,,,
Sim,Palestras à tarde,Sábado,Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",,,
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa, largar o mozão sábado e domingo se ele estiver de folga é osso",,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Sexta-feira, Sábado, Domingo",Alta,,Muito alta,Muito alta,,,Excelente,Excelente,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,,Dificuldade em liberação pela empresa,"Mudanças na liberação de servidores públicos para participar de eventos, infelizmente não é considerado um evento acadêmico por parte de algumas instituições de ensino visto que não tem publicação de artigos por exemplo. O atual governo limitou muito a participação dos servidores mesmo que estes paguem do seu bolso a sua participação =(",,
Sim,Palestras à tarde,"Segunda-feira, Terça-feira",Média,Não se aplica,Média,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Alta,Média,"Horários das atividades incompatíveis com agenda, Conectividade",Insegurança relacionada a pandemia COVID-19,,,
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,,"Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",Não tenho como ir pra outro estado.,"Acho que vocês estão ótimos, a dificuldade não é de vocês e sim de algumas pessoas, como eu, que não conseguem ir pra outros estados.",MARAVILHOSO
Sim,"Palestras à noite, Keynotes","Quarta-feira, Sexta-feira, Sábado",Alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Média,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo do ingresso, Dificuldade em liberação pela empresa",Geralmente o evento envolve transporte como avião ou ônibus de viagem entre estados. Além de também que ter que alinhar com o meu chefe.,Abrir mais vaga nos tutoriais.,"Sai do evento mais apaixonado pela linguagem. A organização do evento me surpreendeu bastante e seria uma hora fazer parte dela na próxima edição, um forte abraço, vocês arrasaram !!!"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Bom,Muito alta,Média,Nenhum,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Distância",,,
Não,"Palestras à tarde, Palestras à noite","Quinta-feira, Sexta-feira, Sábado",Alta,Média,Muito alta,Muito alta,Muito alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,"Como nos encontros presenciais, que as datas fossem centradas em poucos dias e não na semana inteira, acontecendo mais eventos simultaneamente. A semana inteira é mais difícil de acompanhar por causa de obrigações profissionais. Algo de quinta a domingo já é mais fácil de se programar.","Insegurança relacionada a pandemia COVID-19, Custo do transporte","A pandemia no próximo ano ainda será um risco e o custo de transporte no Brasil com Dólar quase 6x1 em relação ao Real, torna as passagens aéreas muito caras.",Concentrando em menos dias as diversas atividades.,Parabéns à toda Equipe!!!!
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Muito alta,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso",Moro no exterior e sairia bastante caro participar do evento.,"No geral foi muito bom o Python Brasil. Só tive a dificuldade de acompanhar o discord junto a palestra. Por que não habilitar o live chat do youtube? Penso que vocês tiveram motivos pra não fazer isso, mas imagino que teria uma interação melhor.

Uma sugestão pra o site: na lista de palestras, para cada uma acrescenta a possibilidade de criarmos facilmente uma agenda pra referida palestra (fiz isso na mão, pra cada palestra que escolhi, adicionei o Google Calendar).",Não.
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Muito alta,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Bom,Bom,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos",Para quem é pai ou mora longe fica muito ruim para viajar e ficar alguns dias fora. Seria interessante um evento presencial e online ao mesmo tempo,,
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Sim,,,,,,,,,,,,,,,Horários das atividades incompatíveis com agenda,"Acessibilidade do evento, Horários do evento, uma vez que eu trabalho.",,,Acho que a maioria dos eventos deveria acontecer no horário em que as pessoas NÃO estão trabalhando.
Sim,Palestras à tarde,"Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,,Muito alta,,,,Bom,Excelente,,,Alta,Alta,,Dificuldade em liberação pela empresa,Para meu empregador a aprticipação nesses eventos tem q ser negociada com antecedência de uns 50 dias.,,
Sim,Palestras à noite,"Segunda-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,Ferramentas utilizadas no evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa",,,
Sim,Palestras à tarde,"Segunda-feira, Terça-feira",Muito alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Não,"Palestras à tarde, Keynotes","Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Média,Alta,Média,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,"Horários das atividades incompatíveis com agenda, Acessibilidade do evento","Insegurança relacionada a pandemia COVID-19, Acessibilidade do evento",Para eventos presenciais consigo liberação do trabalho ou marco férias.,"Interpretes ou legendas em todas as palestras; Descrição de imagens das apresentações (pessoal focou somente na auto descrição, mas o conteúdo - que é o de maior importância - não foi acessível na grande maioria das apresentações); Maior diversidade em keynotes e palestras (mulher branca cis não é diversidade viu?); Espaço para debates e divulgação de outras comunidades de python (Afropython).","Além do comentário construtivo, é bom citar também o que na minha opinião deu certo: Rodas de conversa e debates com espaço na grade do evento (foi ótimo também serem na parte da manhã - que é o horário onde geralmente temos menos gente presente quando a conferência é presencial, assim participa realmente quem tem interesse); Keynotes encerrando cada dia de evento (dá um sentimento de que cada dia foi especial por ser encerrado por uma keynote); Interpretes de libras em todas as keynotes; Trilhas por nível e conteúdo bem diversificado (tivemos ótimas apresentações em diversos níveis de conteúdo)."
Sim,"Palestras à tarde, Palestras à noite","Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,acho que em 2021 ainda não estaremos prontos para um evento presencial do porte da python brasil,,
Não,Palestras à tarde,"Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,Não se aplica,Média,Não se aplica,Não se aplica,Não se aplica,Ruim,Bom,Não se aplica,Não se aplica,Muito baixa,Média,evento online de longa duração é entediante,Insegurança relacionada a pandemia COVID-19,,,
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Baixa,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Compromisso de tempo",,"Só a parte dos tutoriais que deixou um pouco a desejar. Percebi que muitos dos inscritos não compareceram, então fiquei frustrado ao não puder participar dos tutoriais que queria, mesmo sabendo que havia vagas. Não sei como foi nos outros, mas pelo menos no tutorial que participei poderia ter sido gravado para que outras pessoas que não conseguiram se inscrever pudessem assistir posteriormente.",
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Prefiro evento online porque posso interagir menos com as pessoas e aproveitar mais o conteúdo,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa, Acessibilidade do evento, Tudo de ruim, deslocamento, aglomeração, pessoas falando o tempo todo, custo","Escolhi todas, exceção filhos porque não os tenho, em casa eu posso parar e refletir, tem pouca interação com pessoas, não tem custo, obviamente que pude ver as palestras porque estou em casa desempregada. Talvez se 2021 eu estiver trabalhando eu não consiga nem online e muito menos presencial.","Eu tive que escolher uma trilha e ficar nela, acabei perdendo outras, mesmo com o cronograma em mãos fica difícil acompanhar tudo. Para quem é novo na área, esses eventos dão um norte do que estudar, procurar na rede para conhecer, trazem todas as novidades para se manter atualizado. Acho que não consegui aproveitar tanto quando poderia. Não achei em nenhum lugar onde baixar um certificado de participação, mesmo como ouvinte o envolvimento nesses eventos são bons para o currículo.",Obrigada por fazer um evento gigantesco com conteúdo excelente e gratuitamente para todo o Brasil online. Brilhantemente admirável!!!
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira",Muito alta,,Alta,,,,Excelente,Excelente,,,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia",moro no interior da Bahia e deslocamentos em períodos longos são sempre problemáticos,,
Sim,"Palestras à tarde, Tutoriais","Sexta-feira, Sábado",Alta,Alta,Alta,Alta,Muito alta,Muito alta,Excelente,Bom,Bom,Excelente,Alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,Tutoriais,"Sábado, Domingo",Não se aplica,Não se aplica,Não se aplica,Não se aplica,Alta,Não se aplica,Excelente,Bom,Excelente,Bom,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Não tenho interesse em eventos presenciais.,Acho improdutivo o deslocamento sendo que o evento pode ser online.,"Achei a plataforma Eventbrite confusa. Os e-mails não vinham com link pra acessar os tutoriais, rodas de conversa, etc. Deveriam mudar a plataforma para o próximo ano.",
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do ingresso, Acessibilidade do evento",,inserindo mais atividades tutoriais e durante a semana (segunda a sexta). Mais atividades para iniciantes no Phyton.,"Foi um ótimo evento e por ter sido online, foi muito acessível e fácil de participar."
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,,Insegurança relacionada a pandemia COVID-19,"Com a incerteza de como vai estar a situação no Brasil para o ano que vem, e sem surgir um tratamento adequado proximo a data do envento, se torna obscuro confirmar a participação em um evento presencial.",,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Média,Baixa,Alta,Baixa,,,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Chance alta,Disponibilidade de tempo para participar de todas as palestras que me interessarem,,,
Sim,"Palestras à noite, Sprints","Segunda-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Alta,Média,Alta,Bom,Bom,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Não,"Palestras à tarde, Keynotes, Sprints","Quarta-feira, Sexta-feira, Sábado",Muito alta,,Alta,Alta,,Média,Bom,Bom,,,Muito alta,Alta,,Insegurança relacionada a pandemia COVID-19,,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Muito alta,,Muito alta,,,,Excelente,Bom,,,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos",,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira",Muito alta,,Muito alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa","Moro no estado de Pernambuco, casado e com filho, no atual momento fica improvável deixar minha cidade para participar de um evento.",Nenhuma,"Obrigado pelo evento, foi muito bom e me forneceu novos conhecimentos. Seria bom que o evento permanecesse no Youtube para continuar assistindo as palestrar não vistas."
